,0,1,2,3,4,5,6,7,8
[-1  0  0  0  0  0  1  0  0],-1.071876501663529,0.6346708764197175,1.0136949780014868,0.040531372404204125,0.4423149971082549,0.134830846251493,-0.9365824350863918,0.16553721869498011,1.7699153598229556
[0 0 0 0 0 0 0 0 0],1.613391364099875,1.6253061198991077,1.793526017182297,1.6352139769867762,1.6387293655736486,1.5652900868112338,1.5778138649222804,1.624387328351883,1.5804328218918826
[-1  0  0  0  0  0  1  1 -1],-0.2662971930671819,0.146917850455,0.18143381736421316,0.0,1.9945221451000934,0.27434622025,-0.45965079641745177,-0.3088725414911752,-0.5606836135138169
[-1  0  0  0 -1  0  1  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0 -1  1  0  0],0.051376626129248135,0.09462029470945332,1.8089124237445926,1.0496524787287715,0.45300672225887484,-1.2619200896150176,-1.2168631633926312,0.05423867609253218,0.21289095270903952
[ 1  0  0  0 -1 -1  1  0  0],-0.37819500000000006,0.019000000000000003,0.0,1.2251590220000002,-0.24838641100000003,-0.198195,-0.9336885000000001,0.0,-0.14554255
[ 1 -1  0  0 -1 -1  1  0  1],0.0,0.0,-0.1,0.0,0.0,0.0,-0.18100000000000002,0.38,0.0
[ 1 -1  0  0 -1 -1  1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0 -1  1  0 -1  0  0],1.779336856146733,1.1626367826415687,0.2317181497226481,-0.3256025085208394,-0.3179144621272171,0.6376527599763833,-0.3200090028892605,1.2642550026215509,1.208591383067958
[ 0  0  0  0  0  0 -1  0  0],1.5160502190299443,1.1094495731067717,1.0741670694862786,0.8350559739759819,1.7040839647311803,1.1507032034848634,-0.4001067576283617,0.5752401840642021,1.163263026319545
[ 0  0  0 -1  1  0 -1 -1  1],1.9999996244403866,0.4534468638480354,0.16588542306892895,-0.21044509250445276,-0.249998072803436,0.4931170107508862,-0.15424485396263976,-0.20236208623190766,-0.265375404141492
[ 1  0  0 -1  1  0 -1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  0  0  0  0  0  0  0],-0.9262858083676975,-0.7846453581371716,0.7614089444297982,0.0616104761896892,0.6683261950931197,0.09075513759516715,0.11237919614274477,1.6128954965683002,0.07490472206835928
[ 1 -1  0 -1  0  0  0  0  1],-0.2,-0.2,-0.0029061278181032784,-0.2,0.0361,-0.1,0.0,0.0,-0.2
[ 1 -1  0 -1 -1  0  0  1  1],-0.542,-0.5385705000000001,-0.06751000000000001,-0.2,-0.2,0.0,0.0,-0.2,-0.2
[ 1 -1 -1 -1 -1  1  0  1  1],-0.486777511,-0.2558521,-0.6393141999999999,-0.61849096381,-0.5943123010000001,-0.3262078032571,1.7298296564654017,-0.3886111,-0.45802000000000004
[ 1 -1 -1 -1 -1  1 -1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  1  0  0 -1  0  0],0.06918424001236409,0.0859030389324178,1.7914877420506161,-0.7497620316119666,0.5918206318442003,0.02396484176616334,-0.6025322658819988,0.7033521423394259,0.307761260960192
[ 0  0  1  1  0 -1 -1  0  0],0.0046469725,0.00424175,-0.198195,-0.198195,0.0,0.0,-0.5295208897275001,0.20761718597205198,0.0022743000000000004
[ 0  0  1  1  0 -1 -1  1 -1],0.0,0.066059105,-0.1990975,0.0,0.0,0.0,-0.1990975,0.0,-0.53891345
[-1  0  1  1  1 -1 -1  1 -1],-0.2,0.814697981114816,-0.49308450000000004,-0.6642803826786255,-0.46873295283221295,-0.516255,-0.32415900000000003,-0.774506895,-0.542
